date,cases,deaths
2020-03-18,3.0,0.0
2020-03-19,4.0,0.0
2020-03-20,14.0,0.0
2020-03-21,6.0,0.0
2020-03-22,3.0,0.0
2020-03-23,12.0,0.0
2020-03-24,2.0,0.0
2020-03-25,14.0,0.0
2020-03-26,1.0,0.0
2020-03-27,5.0,1.0
2020-03-28,16.0,1.0
2020-03-29,17.0,0.0
2020-03-30,37.0,0.0
2020-03-31,13.0,0.0
2020-04-01,28.0,1.0
2020-04-02,24.0,0.0
2020-04-03,24.0,2.0
2020-04-04,18.0,1.0
2020-04-05,56.0,0.0
2020-04-06,13.0,1.0
2020-04-07,29.0,0.0
2020-04-08,32.0,3.0
2020-04-09,45.0,0.0
2020-04-10,35.0,0.0
2020-04-11,27.0,0.0
2020-04-12,15.0,0.0
2020-04-13,30.0,0.0
2020-04-14,11.0,1.0
2020-04-15,13.0,1.0
2020-04-16,31.0,1.0
2020-04-17,33.0,1.0
2020-04-18,14.0,0.0
2020-04-19,26.0,0.0
2020-04-20,5.0,0.0
2020-04-21,32.0,0.0
2020-04-22,36.0,1.0
2020-04-23,11.0,2.0
2020-04-24,30.0,0.0
2020-04-25,21.0,1.0
2020-04-26,50.0,1.0
2020-04-27,3.0,0.0
2020-04-28,24.0,2.0
2020-04-29,20.0,9.0
2020-04-30,15.0,3.0
2020-05-01,14.0,1.0
2020-05-02,33.0,4.0
2020-05-03,18.0,2.0
2020-05-04,13.0,2.0
2020-05-05,13.0,5.0
2020-05-06,24.0,2.0
2020-05-07,29.0,3.0
2020-05-08,14.0,0.0
2020-05-09,25.0,2.0
2020-05-10,18.0,0.0
2020-05-11,19.0,3.0
2020-05-12,26.0,2.0
2020-05-13,22.0,0.0
2020-05-14,13.0,1.0
2020-05-15,16.0,0.0
2020-05-16,26.0,0.0
2020-05-17,16.0,1.0
2020-05-18,12.0,0.0
2020-05-19,17.0,0.0
2020-05-20,20.0,1.0
2020-05-21,15.0,0.0
2020-05-22,31.0,0.0
2020-05-23,16.0,1.0
2020-05-24,12.0,0.0
2020-05-25,5.0,0.0
2020-05-26,20.0,0.0
2020-05-27,19.0,3.0
2020-05-28,27.0,0.0
2020-05-29,29.0,0.0
2020-05-30,24.0,0.0
2020-05-31,33.0,0.0
2020-06-01,12.0,0.0
2020-06-02,12.0,0.0
2020-06-03,30.0,0.0
2020-06-04,37.0,1.0
2020-06-05,57.0,1.0
2020-06-06,52.0,0.0
2020-06-07,30.0,0.0
2020-06-08,46.0,2.0
2020-06-09,79.0,0.0
2020-06-10,65.0,0.0
2020-06-11,68.0,0.0
2020-06-12,70.0,1.0
2020-06-13,64.0,1.0
2020-06-14,75.0,0.0
2020-06-15,43.0,0.0
2020-06-16,61.0,2.0
2020-06-17,52.0,0.0
2020-06-18,81.0,0.0
2020-06-19,89.0,0.0
2020-06-20,100.0,2.0
2020-06-21,34.0,3.0
2020-06-22,43.0,1.0
2020-06-23,78.0,0.0
2020-06-24,84.0,0.0
2020-06-25,76.0,0.0
2020-06-26,108.0,0.0
2020-06-27,128.0,0.0
2020-06-28,93.0,1.0
2020-06-29,78.0,1.0
2020-06-30,155.0,1.0
2020-07-01,114.0,1.0
2020-07-02,125.0,2.0
2020-07-03,109.0,0.0
2020-07-04,147.0,1.0
2020-07-05,114.0,0.0
2020-07-06,89.0,0.0
2020-07-07,57.0,3.0
2020-07-08,71.0,2.0
2020-07-09,126.0,1.0
2020-07-10,101.0,4.0
2020-07-11,151.0,1.0
2020-07-12,153.0,0.0
2020-07-13,120.0,1.0
2020-07-14,234.0,0.0
2020-07-15,184.0,0.0
2020-07-16,137.0,3.0
2020-07-17,206.0,3.0
2020-07-18,174.0,1.0
2020-07-19,120.0,2.0
2020-07-20,166.0,1.0
2020-07-21,192.0,3.0
2020-07-22,173.0,4.0
2020-07-23,106.0,6.0
2020-07-24,158.0,2.0
2020-07-25,93.0,2.0
2020-07-26,69.0,1.0
2020-07-27,85.0,0.0
2020-07-28,143.0,0.0
2020-07-29,160.0,1.0
2020-07-30,222.0,1.0
2020-07-31,163.0,2.0
2020-08-01,86.0,2.0
2020-08-02,109.0,7.0
2020-08-03,65.0,1.0
2020-08-04,133.0,2.0
2020-08-05,171.0,5.0
2020-08-06,120.0,0.0
2020-08-07,115.0,0.0
2020-08-08,128.0,3.0
2020-08-09,67.0,1.0
2020-08-10,62.0,1.0
2020-08-11,81.0,1.0
2020-08-12,132.0,4.0
2020-08-13,93.0,1.0
2020-08-14,82.0,4.0
2020-08-15,91.0,2.0
2020-08-16,50.0,3.0
2020-08-17,39.0,2.0
2020-08-18,64.0,8.0
2020-08-19,96.0,0.0
2020-08-20,117.0,1.0
2020-08-21,96.0,4.0
2020-08-22,88.0,2.0
2020-08-23,80.0,0.0
2020-08-24,52.0,0.0
2020-08-25,87.0,2.0
2020-08-26,95.0,3.0
2020-08-27,78.0,3.0
2020-08-28,147.0,1.0
2020-08-29,199.0,1.0
2020-08-30,408.0,1.0
2020-08-31,183.0,0.0
2020-09-01,169.0,0.0
2020-09-02,77.0,0.0
2020-09-03,122.0,0.0
2020-09-04,450.0,1.0
2020-09-05,140.0,6.0
2020-09-06,91.0,0.0
2020-09-07,75.0,1.0
2020-09-08,78.0,0.0
2020-09-09,34.0,3.0
2020-09-10,73.0,3.0
2020-09-11,766.0,1.0
2020-09-12,106.0,4.0
2020-09-13,263.0,2.0
2020-09-14,133.0,1.0
2020-09-15,82.0,2.0
2020-09-16,88.0,0.0
2020-09-17,200.0,2.0
2020-09-18,79.0,1.0
2020-09-19,129.0,1.0
2020-09-20,85.0,1.0
2020-09-21,45.0,1.0
2020-09-22,112.0,4.0
2020-09-23,100.0,0.0
2020-09-24,142.0,4.0
2020-09-25,181.0,1.0
2020-09-26,177.0,4.0
2020-09-27,59.0,1.0
2020-09-28,90.0,4.0
2020-09-29,56.0,0.0
2020-09-30,53.0,0.0
2020-10-01,26.0,2.0
2020-10-02,47.0,2.0
2020-10-03,130.0,1.0
2020-10-04,67.0,0.0
2020-10-05,45.0,1.0
2020-10-06,81.0,1.0
2020-10-07,48.0,0.0
2020-10-08,60.0,0.0
2020-10-09,64.0,2.0
2020-10-10,78.0,1.0
2020-10-11,33.0,1.0
2020-10-12,24.0,0.0
2020-10-13,54.0,3.0
2020-10-14,57.0,0.0
2020-10-15,103.0,0.0
2020-10-16,110.0,2.0
2020-10-17,79.0,0.0
2020-10-18,71.0,2.0
2020-10-19,26.0,0.0
2020-10-20,77.0,1.0
2020-10-21,67.0,2.0
2020-10-22,55.0,0.0
2020-10-23,73.0,0.0
2020-10-24,66.0,1.0
2020-10-25,74.0,0.0
2020-10-26,43.0,4.0
2020-10-27,75.0,-1.0
2020-10-28,59.0,1.0
2020-10-29,92.0,1.0
2020-10-30,122.0,0.0
2020-10-31,76.0,2.0
2020-11-01,123.0,1.0
2020-11-02,62.0,1.0
2020-11-03,72.0,1.0
2020-11-04,76.0,1.0
2020-11-05,87.0,0.0
2020-11-06,73.0,1.0
2020-11-07,124.0,0.0
2020-11-08,65.0,1.0
2020-11-09,43.0,0.0
2020-11-10,83.0,0.0
2020-11-11,148.0,3.0
2020-11-12,95.0,0.0
2020-11-13,95.0,2.0
2020-11-14,154.0,0.0
2020-11-15,70.0,0.0
2020-11-16,70.0,2.0
2020-11-17,91.0,2.0
2020-11-18,137.0,2.0
2020-11-19,116.0,1.0
2020-11-20,126.0,0.0
2020-11-21,118.0,3.0
2020-11-22,119.0,0.0
2020-11-23,118.0,1.0
2020-11-24,115.0,3.0
2020-11-25,127.0,0.0
2020-11-26,0.0,0.0
2020-11-27,144.0,2.0
2020-11-28,59.0,0.0
2020-11-29,106.0,0.0
2020-11-30,99.0,2.0
2020-12-01,89.0,0.0
2020-12-02,148.0,1.0
2020-12-03,207.0,0.0
2020-12-04,200.0,1.0
2020-12-05,242.0,0.0
2020-12-06,175.0,2.0
2020-12-07,141.0,3.0
2020-12-08,157.0,1.0
2020-12-09,199.0,0.0
2020-12-10,179.0,2.0
2020-12-11,192.0,1.0
2020-12-12,275.0,0.0
2020-12-13,224.0,1.0
2020-12-14,157.0,0.0
2020-12-15,134.0,1.0
2020-12-16,181.0,0.0
2020-12-17,207.0,2.0
2020-12-18,362.0,1.0
2020-12-19,173.0,0.0
2020-12-20,158.0,1.0
2020-12-21,158.0,3.0
2020-12-22,115.0,0.0
2020-12-23,287.0,1.0
2020-12-24,169.0,1.0
2020-12-25,0.0,0.0
2020-12-26,225.0,3.0
2020-12-27,383.0,3.0
2020-12-28,112.0,2.0
2020-12-29,109.0,1.0
2020-12-30,246.0,1.0
2020-12-31,294.0,1.0
2021-01-01,0.0,0.0
2021-01-02,267.0,3.0
2021-01-03,516.0,5.0
2021-01-04,315.0,0.0
2021-01-05,126.0,1.0
2021-01-06,415.0,3.0
2021-01-07,342.0,2.0
2021-01-08,432.0,2.0
2021-01-09,407.0,0.0
2021-01-10,181.0,4.0
2021-01-11,226.0,0.0
2021-01-12,66.0,2.0
2021-01-13,328.0,1.0
2021-01-14,482.0,1.0
2021-01-15,324.0,4.0
2021-01-16,570.0,7.0
2021-01-17,490.0,7.0
2021-01-18,235.0,2.0
2021-01-19,135.0,3.0
2021-01-20,293.0,7.0
2021-01-21,289.0,0.0
2021-01-22,247.0,3.0
2021-01-23,502.0,1.0
2021-01-24,433.0,1.0
2021-01-25,202.0,0.0
2021-01-26,164.0,3.0
2021-01-27,322.0,3.0
2021-01-28,275.0,15.0
2021-01-29,277.0,2.0
2021-01-30,346.0,4.0
2021-01-31,295.0,3.0
2021-02-01,169.0,12.0
2021-02-02,154.0,4.0
2021-02-03,171.0,6.0
2021-02-04,198.0,1.0
2021-02-05,328.0,4.0
2021-02-06,224.0,0.0
2021-02-07,226.0,0.0
2021-02-08,166.0,1.0
2021-02-09,149.0,0.0
2021-02-10,173.0,5.0
2021-02-11,208.0,3.0
2021-02-12,239.0,1.0
2021-02-13,239.0,2.0
2021-02-14,312.0,3.0
2021-02-15,164.0,6.0
2021-02-16,131.0,1.0
2021-02-17,138.0,3.0
2021-02-18,199.0,1.0
2021-02-19,260.0,4.0
2021-02-20,352.0,0.0
2021-02-21,325.0,7.0
2021-02-22,133.0,0.0
2021-02-23,123.0,-1.0
2021-02-24,217.0,0.0
2021-02-25,118.0,4.0
2021-02-26,109.0,3.0
2021-02-27,141.0,1.0
2021-02-28,149.0,3.0
2021-03-01,83.0,0.0
2021-03-02,55.0,0.0
2021-03-03,76.0,3.0
2021-03-04,121.0,0.0
2021-03-05,98.0,1.0
2021-03-06,86.0,0.0
2021-03-07,67.0,5.0
2021-03-08,72.0,0.0
2021-03-09,38.0,0.0
2021-03-10,79.0,2.0
2021-03-11,68.0,2.0
2021-03-12,137.0,0.0
2021-03-13,148.0,5.0
2021-03-14,66.0,0.0
2021-03-15,70.0,0.0
2021-03-16,60.0,1.0
2021-03-17,77.0,3.0
2021-03-18,128.0,0.0
2021-03-19,121.0,0.0
2021-03-20,72.0,1.0
2021-03-21,80.0,1.0
2021-03-22,50.0,0.0
2021-03-23,50.0,1.0
2021-03-24,54.0,1.0
2021-03-25,77.0,0.0
2021-03-26,98.0,1.0
2021-03-27,106.0,0.0
2021-03-28,89.0,2.0
2021-03-29,58.0,0.0
2021-03-30,51.0,0.0
2021-03-31,87.0,0.0
2021-04-01,71.0,2.0
2021-04-02,77.0,0.0
2021-04-03,91.0,0.0
2021-04-04,0.0,0.0
2021-04-05,78.0,1.0
2021-04-06,71.0,0.0
2021-04-07,52.0,0.0
2021-04-08,86.0,1.0
2021-04-09,101.0,0.0
2021-04-10,89.0,3.0
2021-04-11,65.0,1.0
2021-04-12,51.0,0.0
2021-04-13,49.0,2.0
2021-04-14,79.0,0.0
2021-04-15,92.0,0.0
2021-04-16,113.0,0.0
2021-04-17,99.0,0.0
2021-04-18,83.0,0.0
2021-04-19,57.0,0.0
2021-04-20,33.0,1.0
2021-04-21,64.0,1.0
2021-04-22,45.0,1.0
2021-04-23,83.0,0.0
2021-04-24,122.0,0.0
2021-04-25,49.0,1.0
2021-04-26,40.0,0.0
2021-04-27,32.0,0.0
2021-04-28,50.0,2.0
2021-04-29,54.0,2.0
2021-04-30,78.0,0.0
2021-05-01,116.0,1.0
2021-05-02,60.0,0.0
2021-05-03,53.0,0.0
2021-05-04,32.0,0.0
2021-05-05,85.0,4.0
2021-05-06,76.0,4.0
2021-05-07,69.0,1.0
2021-05-08,45.0,1.0
2021-05-09,45.0,3.0
2021-05-10,37.0,0.0
2021-05-11,25.0,0.0
2021-05-12,23.0,0.0
2021-05-13,26.0,1.0
2021-05-14,67.0,0.0
2021-05-15,102.0,1.0
2021-05-16,30.0,0.0
2021-05-17,27.0,0.0
2021-05-18,13.0,0.0
2021-05-19,17.0,0.0
2021-05-20,37.0,0.0
2021-05-21,35.0,2.0
2021-05-22,28.0,1.0
2021-05-23,38.0,2.0
2021-05-24,27.0,1.0
2021-05-25,11.0,2.0
2021-05-26,18.0,0.0
2021-05-27,21.0,0.0
2021-05-28,17.0,2.0
2021-05-29,13.0,0.0
2021-05-30,0.0,0.0
2021-05-31,22.0,0.0
2021-06-01,0.0,0.0
2021-06-02,15.0,0.0
2021-06-03,7.0,0.0
2021-06-04,-5.0,0.0
2021-06-05,35.0,1.0
2021-06-06,32.0,0.0
2021-06-07,11.0,0.0
2021-06-08,17.0,0.0
2021-06-09,23.0,2.0
2021-06-10,21.0,0.0
2021-06-11,24.0,1.0
2021-06-12,0.0,0.0
2021-06-13,4.0,0.0
2021-06-14,28.0,0.0
2021-06-15,9.0,0.0
2021-06-16,-7.0,-1.0
2021-06-17,20.0,1.0
2021-06-18,6.0,0.0
2021-06-19,0.0,0.0
2021-06-20,0.0,0.0
2021-06-21,71.0,0.0
2021-06-22,4.0,1.0
2021-06-23,8.0,0.0
2021-06-24,57.0,0.0
2021-06-25,-1.0,0.0
2021-06-26,0.0,0.0
2021-06-27,0.0,0.0
2021-06-28,97.0,0.0
2021-06-29,9.0,0.0
2021-06-30,20.0,0.0
2021-07-01,7.0,0.0
2021-07-02,53.0,1.0
2021-07-03,0.0,0.0
2021-07-04,0.0,0.0
2021-07-05,103.0,2.0
2021-07-06,26.0,0.0
2021-07-07,6.0,1.0
2021-07-08,44.0,0.0
2021-07-09,35.0,0.0
2021-07-10,0.0,0.0
2021-07-11,0.0,0.0
2021-07-12,113.0,0.0
2021-07-13,27.0,0.0
2021-07-14,22.0,1.0
2021-07-15,44.0,0.0
2021-07-16,50.0,0.0
2021-07-17,0.0,0.0
2021-07-18,0.0,0.0
2021-07-19,196.0,-2.0
2021-07-20,33.0,0.0
2021-07-21,61.0,0.0
2021-07-22,80.0,0.0
2021-07-23,126.0,0.0
2021-07-24,0.0,0.0
2021-07-25,0.0,0.0
2021-07-26,337.0,0.0
2021-07-27,125.0,0.0
2021-07-28,142.0,2.0
2021-07-29,150.0,1.0
2021-07-30,195.0,0.0
2021-07-31,0.0,0.0
2021-08-01,0.0,0.0
2021-08-02,616.0,0.0
2021-08-03,238.0,0.0
2021-08-04,215.0,2.0
2021-08-05,271.0,0.0
2021-08-06,242.0,2.0
2021-08-07,0.0,0.0
2021-08-08,0.0,0.0
2021-08-09,824.0,3.0
2021-08-10,169.0,0.0
2021-08-11,254.0,1.0
2021-08-12,230.0,0.0
2021-08-13,357.0,3.0
2021-08-14,0.0,0.0
2021-08-15,0.0,0.0
2021-08-16,798.0,10.0
2021-08-17,153.0,0.0
2021-08-18,333.0,2.0
2021-08-19,199.0,5.0
2021-08-20,369.0,1.0
2021-08-21,0.0,0.0
2021-08-22,0.0,0.0
2021-08-23,896.0,10.0
2021-08-24,226.0,1.0
2021-08-25,201.0,1.0
2021-08-26,301.0,4.0
2021-08-27,482.0,1.0
2021-08-28,0.0,0.0
