date,county,state,fips,cases,deaths
2020-03-17,Richland,South Carolina,45079.0,1,0.0
2020-03-18,Richland,South Carolina,45079.0,4,0.0
2020-03-19,Richland,South Carolina,45079.0,8,0.0
2020-03-20,Richland,South Carolina,45079.0,22,0.0
2020-03-21,Richland,South Carolina,45079.0,28,0.0
2020-03-22,Richland,South Carolina,45079.0,31,0.0
2020-03-23,Richland,South Carolina,45079.0,43,0.0
2020-03-24,Richland,South Carolina,45079.0,45,0.0
2020-03-25,Richland,South Carolina,45079.0,59,0.0
2020-03-26,Richland,South Carolina,45079.0,60,0.0
2020-03-27,Richland,South Carolina,45079.0,65,1.0
2020-03-28,Richland,South Carolina,45079.0,81,2.0
2020-03-29,Richland,South Carolina,45079.0,98,2.0
2020-03-30,Richland,South Carolina,45079.0,135,2.0
2020-03-31,Richland,South Carolina,45079.0,148,2.0
2020-04-01,Richland,South Carolina,45079.0,176,3.0
2020-04-02,Richland,South Carolina,45079.0,200,3.0
2020-04-03,Richland,South Carolina,45079.0,224,5.0
2020-04-04,Richland,South Carolina,45079.0,242,6.0
2020-04-05,Richland,South Carolina,45079.0,298,6.0
2020-04-06,Richland,South Carolina,45079.0,311,7.0
2020-04-07,Richland,South Carolina,45079.0,340,7.0
2020-04-08,Richland,South Carolina,45079.0,372,10.0
2020-04-09,Richland,South Carolina,45079.0,417,10.0
2020-04-10,Richland,South Carolina,45079.0,452,10.0
2020-04-11,Richland,South Carolina,45079.0,479,10.0
2020-04-12,Richland,South Carolina,45079.0,494,10.0
2020-04-13,Richland,South Carolina,45079.0,524,10.0
2020-04-14,Richland,South Carolina,45079.0,535,11.0
2020-04-15,Richland,South Carolina,45079.0,548,12.0
2020-04-16,Richland,South Carolina,45079.0,579,13.0
2020-04-17,Richland,South Carolina,45079.0,612,14.0
2020-04-18,Richland,South Carolina,45079.0,626,14.0
2020-04-19,Richland,South Carolina,45079.0,652,14.0
2020-04-20,Richland,South Carolina,45079.0,657,14.0
2020-04-21,Richland,South Carolina,45079.0,689,14.0
2020-04-22,Richland,South Carolina,45079.0,725,15.0
2020-04-23,Richland,South Carolina,45079.0,736,17.0
2020-04-24,Richland,South Carolina,45079.0,766,17.0
2020-04-25,Richland,South Carolina,45079.0,787,18.0
2020-04-26,Richland,South Carolina,45079.0,837,19.0
2020-04-27,Richland,South Carolina,45079.0,840,19.0
2020-04-28,Richland,South Carolina,45079.0,864,21.0
2020-04-29,Richland,South Carolina,45079.0,884,30.0
2020-04-30,Richland,South Carolina,45079.0,899,33.0
2020-05-01,Richland,South Carolina,45079.0,913,34.0
2020-05-02,Richland,South Carolina,45079.0,946,38.0
2020-05-03,Richland,South Carolina,45079.0,964,40.0
2020-05-04,Richland,South Carolina,45079.0,977,42.0
2020-05-05,Richland,South Carolina,45079.0,990,47.0
2020-05-06,Richland,South Carolina,45079.0,1014,49.0
2020-05-07,Richland,South Carolina,45079.0,1043,52.0
2020-05-08,Richland,South Carolina,45079.0,1057,52.0
2020-05-09,Richland,South Carolina,45079.0,1082,54.0
2020-05-10,Richland,South Carolina,45079.0,1100,54.0
2020-05-11,Richland,South Carolina,45079.0,1119,57.0
2020-05-12,Richland,South Carolina,45079.0,1145,59.0
2020-05-13,Richland,South Carolina,45079.0,1167,59.0
2020-05-14,Richland,South Carolina,45079.0,1180,60.0
2020-05-15,Richland,South Carolina,45079.0,1196,60.0
2020-05-16,Richland,South Carolina,45079.0,1222,60.0
2020-05-17,Richland,South Carolina,45079.0,1238,61.0
2020-05-18,Richland,South Carolina,45079.0,1250,61.0
2020-05-19,Richland,South Carolina,45079.0,1267,61.0
2020-05-20,Richland,South Carolina,45079.0,1287,62.0
2020-05-21,Richland,South Carolina,45079.0,1302,62.0
2020-05-22,Richland,South Carolina,45079.0,1333,62.0
