WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,TN_ugl,Nitrogen,Total,1280,ug/l,,,1.28,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,203,ug/l,,,0.203,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,9,ug/l,I,,0.009,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,TP_ugl,Phosphorus as P,Total,52,ug/l,,,0.052,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.002,mg/l,I,,0.002,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,DO_mgl,Dissolved oxygen (DO),,1.14,mg/l,,,1.14,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,pH,pH,,7.4,None,,,7.4,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,Cond_umhocm,Specific conductance,,547,umho,,,547,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,TempW_C,"Temperature, water",,26.6,deg C,,,26.6,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,5/18/2020 11:11:00 AM,0.23,m,TempW_F,"Temperature, water",,79.88,deg F,,,26.6,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,TN_ugl,Nitrogen,Total,1220,ug/l,,,1.22,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,21,ug/l,,,0.021,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,5,ug/l,U,,0.005,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,TP_ugl,Phosphorus as P,Total,49,ug/l,,,0.049,mg/L
